CO2_unit,CO2_value,Consumption_unit,Consumption_value,Engine_Load_unit,Engine_Load_value,GPS_Accuracy_unit,GPS_Accuracy_value,GPS_Altitude_unit,GPS_Altitude_value,GPS_Bearing_unit,GPS_Bearing_value,GPS_HDOP_unit,GPS_HDOP_value,GPS_PDOP_unit,GPS_PDOP_value,GPS_Speed_unit,GPS_Speed_value,GPS_VDOP_unit,GPS_VDOP_value,Intake_Pressure_unit,Intake_Pressure_value,Intake_Temperature_unit,Intake_Temperature_value,MAF_unit,MAF_value,O2_Lambda_Voltage_ER_unit,O2_Lambda_Voltage_ER_value,O2_Lambda_Voltage_unit,O2_Lambda_Voltage_value,Rpm_unit,Rpm_value,Speed_unit,Speed_value,Throttle_Position_unit,Throttle_Position_value,coordinates,id,properties_constructionYear,properties_engineDisplacement,properties_fuelType,properties_id,properties_manufacturer,properties_model,time,track,type
kg/h,2.74236400245,l/h,1.1669634053,%,19.3352467403,%,12.0,m,91.4874959214,deg,212.83272495,precision,1.39999995828,precision,3.39999989867,km/h,13.9255429662,precision,3.09999990761,kPa,32.0,c,29.9999991059,l/s,3.54999992587,ratio,0.996365344421,V,1.46665426379,u/min,780.682095915,km/h,8.90571454167,%,4.0000000298,"[6.482780286347804, 51.22384139215873]",579634f9e4b086b281bf9369,2004,2200,gasoline,5750591ee4b09078f98673d8,Opel,Vectra C Caravan,2012-01-01T00:07:34Z,579634f9e4b086b281bf935c,Point
kg/h,2.87782710794,l/h,1.22460727998,%,20.5916548734,%,11.9999998212,m,91.6301481008,deg,210.101086347,precision,1.37993979901,precision,3.2996990487,km/h,0.0,precision,2.99969905317,kPa,33.39453125,c,30.9999995381,l/s,3.72535739629,ratio,0.993059858913,V,1.46214183478,u/min,771.43135345,km/h,0.0,%,4.0000000596,"[6.482751456675614, 51.22381275181856]",579634f9e4b086b281bf936a,2004,2200,gasoline,5750591ee4b09078f98673d8,Opel,Vectra C Caravan,2012-01-01T00:07:39Z,579634f9e4b086b281bf935c,Point
kg/h,3.14511895371,l/h,1.33834849094,%,21.8058963388,%,5.99999982119,m,91.6002977984,deg,210.101083216,precision,0.900000013411,precision,1.77985974699,km/h,0.0,precision,1.50000002235,kPa,36.0,c,31.000000231,l/s,4.07136763848,ratio,0.986712743615,V,1.43939331232,u/min,783.427217185,km/h,0.0,%,3.99999988079,"[6.482751360075088, 51.22381198852426]",579634f9e4b086b281bf936b,2004,2200,gasoline,5750591ee4b09078f98673d8,Opel,Vectra C Caravan,2012-01-01T00:07:44Z,579634f9e4b086b281bf935c,Point
kg/h,24.9713485445,l/h,10.6261057636,%,65.4770547544,%,10.5,m,91.6495443714,deg,210.101089478,precision,0.9,precision,2.07434607744,km/h,0.0,precision,1.87434607744,kPa,87.6289168149,c,30.1027390584,l/s,32.3254992418,ratio,1.01205644908,V,1.52463228325,u/min,2192.20179749,km/h,11.1298700785,%,20.3216081262,"[6.48275155327614, 51.223813515112866]",579634f9e4b086b281bf936c,2004,2200,gasoline,5750591ee4b09078f98673d8,Opel,Vectra C Caravan,2012-01-01T00:07:49Z,579634f9e4b086b281bf935c,Point
kg/h,7.02528549952,l/h,2.98948319128,%,31.9912510998,%,7.99999976158,m,95.7837275858,deg,211.898453553,precision,0.926095616817,precision,2.0,km/h,27.0208599111,precision,1.77390438318,kPa,50.2969696522,c,30.0000006706,l/s,9.09425699148,ratio,0.976914138533,V,1.39181178005,u/min,1437.44323635,km/h,29.962512888,%,7.29285013676,"[6.482574351332831, 51.22364863877769]",579634f9e4b086b281bf936d,2004,2200,gasoline,5750591ee4b09078f98673d8,Opel,Vectra C Caravan,2012-01-01T00:07:54Z,579634f9e4b086b281bf935c,Point
kg/h,27.3840994719,l/h,11.6528082859,%,80.9101348299,%,10.7368421555,m,93.6943095549,deg,130.005592909,precision,0.832394367456,precision,1.76760563254,km/h,32.4477294506,precision,1.53521126509,kPa,98.9999970496,c,29.0160162859,l/s,35.4488138731,ratio,0.994753932202,V,1.49807781796,u/min,1955.95460233,km/h,41.4764196277,%,55.2900990248,"[6.482634733181552, 51.223268739656305]",579634f9e4b086b281bf936e,2004,2200,gasoline,5750591ee4b09078f98673d8,Opel,Vectra C Caravan,2012-01-01T00:07:59Z,579634f9e4b086b281bf935c,Point
kg/h,14.2236683132,l/h,6.05262481412,%,31.4840445962,%,8.0,m,88.0037474399,deg,118.446365056,precision,0.800000023842,precision,1.43561372459,km/h,58.2748217908,precision,1.23561371863,kPa,45.4796527326,c,29.0000004591,l/s,18.41258907,ratio,0.988234026474,V,1.44515503314,u/min,2846.91203468,km/h,60.9999981821,%,9.09768351912,"[6.483620948167867, 51.22293071879028]",579634f9e4b086b281bf936f,2004,2200,gasoline,5750591ee4b09078f98673d8,Opel,Vectra C Caravan,2012-01-01T00:08:05Z,579634f9e4b086b281bf935c,Point
kg/h,3.79042335675,l/h,1.61294610925,%,11.3725487181,%,8.0,m,85.6684621009,deg,114.687166522,precision,0.799999976158,precision,1.4999999553,km/h,58.1514701387,precision,1.29999996126,kPa,20.0,c,29.0000004321,l/s,4.90671647653,ratio,0.0,V,3.994140625,u/min,1849.34908295,km/h,54.8657712005,%,5.00000014901,"[6.484754413225637, 51.22262029166275]",579634f9e4b086b281bf9370,2004,2200,gasoline,5750591ee4b09078f98673d8,Opel,Vectra C Caravan,2012-01-01T00:08:10Z,579634f9e4b086b281bf935c,Point
kg/h,2.60964346043,l/h,1.11048657891,%,11.764705658,%,12.0,m,86.6734475581,deg,108.836742875,precision,0.830030030012,precision,1.58018018007,km/h,41.8502063758,precision,1.38018018007,kPa,21.0,c,30.0,l/s,3.37819271359,ratio,0.0,V,3.99171398618,u/min,1243.70723368,km/h,36.1821867675,%,4.0,"[6.485676126373407, 51.22242910121553]",579634f9e4b086b281bf9371,2004,2200,gasoline,5750591ee4b09078f98673d8,Opel,Vectra C Caravan,2012-01-01T00:08:14Z,579634f9e4b086b281bf935c,Point
kg/h,2.62154067136,l/h,1.11554922185,%,19.2156862254,%,7.99999976158,m,90.5355039752,deg,104.83519087,precision,0.83271484375,precision,1.6345703125,km/h,23.0425539429,precision,1.3345703125,kPa,31.1193291545,c,29.9999991059,l/s,3.39359369531,ratio,0.993608580378,V,1.46662870568,u/min,756.195459729,km/h,18.2773870602,%,4.0,"[6.4862076614506154, 51.22234377489239]",579634f9e4b086b281bf9372,2004,2200,gasoline,5750591ee4b09078f98673d8,Opel,Vectra C Caravan,2012-01-01T00:08:20Z,579634f9e4b086b281bf935c,Point
