ABSOLUTE_LOAD,ACCELERATOR_POS_D,ACCELERATOR_POS_E,BAROMETRIC_PRESSURE,DISTANCE_W_MIL,INTAKE_PRESSURE,INTAKE_TEMP,MAF,RELATIVE_THROTTLE_POS,RPM,RUN_TIME,SPEED,THROTTLE_POS,time
13.72549019607843,31.372549019607842,21.568627450980394,96,557,25,22,3.0,3.9215686274509802,1707.75,3891,25,13.333333333333334,1508614759.5844038
25.88235294117647,34.509803921568626,23.529411764705884,96,557,18,22,7.65,8.235294117647058,1683.25,3891,24,16.470588235294116,1508614760.1844811
30.19607843137255,32.94117647058823,20.784313725490197,96,557,41,22,10.4,6.666666666666667,1707.5,3892,25,17.254901960784313,1508614760.8345876
15.294117647058822,33.333333333333336,23.137254901960784,96,557,34,22,3.1,4.705882352941177,1793.75,3892,26,13.333333333333334,1508614761.5119762
20.0,32.94117647058823,21.176470588235293,96,557,22,22,6.93,5.490196078431373,1831.5,3892,26,15.686274509803921,1508614762.1670887
12.156862745098039,31.764705882352942,20.784313725490197,96,557,25,22,3.21,3.9215686274509802,1800.5,3894,26,13.333333333333334,1508614762.8645935
10.980392156862745,32.94117647058823,21.96078431372549,96,557,17,22,2.89,4.705882352941177,1754.75,3894,26,13.333333333333334,1508614763.5120187
18.431372549019606,34.11764705882353,23.137254901960784,96,557,20,22,5.08,7.450980392156863,1715.25,3896,25,14.901960784313726,1508614764.1345983
26.274509803921568,33.72549019607843,21.176470588235293,96,557,33,22,8.25,7.450980392156863,1738.25,3896,25,16.470588235294116,1508614764.7671092
16.07843137254902,31.764705882352942,20.784313725490197,96,557,35,22,3.5500000000000003,4.705882352941177,1769.75,3896,26,13.72549019607843,1508614765.3970475
13.72549019607843,31.764705882352942,20.784313725490197,96,557,21,22,3.44,4.705882352941177,1763.25,3897,25,13.72549019607843,1508614766.039418
16.862745098039216,33.72549019607843,22.745098039215687,96,557,19,22,3.71,7.450980392156863,1684.75,3897,24,13.72549019607843,1508614766.646925
30.980392156862745,34.11764705882353,22.745098039215687,96,557,33,22,8.950000000000001,8.235294117647058,1681.5,3899,24,16.862745098039216,1508614767.3094904
32.549019607843135,34.11764705882353,23.137254901960784,96,557,45,22,9.85,8.235294117647058,1696.0,3899,25,17.254901960784313,1508614767.9857438
19.607843137254903,31.764705882352942,20.784313725490197,96,557,47,22,6.75,5.098039215686274,1757.5,3899,26,14.509803921568627,1508614768.609407
14.509803921568627,31.764705882352942,20.784313725490197,96,557,24,22,3.75,4.705882352941177,1742.5,3900,26,13.72549019607843,1508614769.2369897
14.117647058823529,31.764705882352942,20.784313725490197,96,557,20,22,3.79,4.705882352941177,1705.5,3900,25,13.72549019607843,1508614769.8871098
14.117647058823529,31.764705882352942,20.784313725490197,96,557,20,22,3.71,4.705882352941177,1642.5,3902,24,13.72549019607843,1508614770.541594
14.117647058823529,32.15686274509804,21.176470588235293,96,557,21,22,3.63,4.705882352941177,1553.25,3902,22,13.72549019607843,1508614771.2095537
13.72549019607843,32.549019607843135,21.176470588235293,96,557,21,22,3.29,5.098039215686274,1490.0,3902,22,13.333333333333334,1508614771.915653
18.823529411764707,33.333333333333336,21.96078431372549,96,557,22,23,4.36,5.882352941176471,1439.5,3904,21,14.901960784313726,1508614772.5370135
21.56862745098039,33.333333333333336,21.96078431372549,96,557,28,23,5.48,6.2745098039215685,1466.75,3904,21,15.294117647058824,1508614773.23703
21.176470588235293,33.333333333333336,21.96078431372549,96,557,30,23,5.48,5.882352941176471,1486.75,3905,22,15.294117647058824,1508614773.90205
18.823529411764707,32.549019607843135,21.176470588235293,96,557,29,23,5.08,5.098039215686274,1513.25,3905,22,14.509803921568627,1508614774.5345948
16.07843137254902,32.15686274509804,20.784313725490197,96,557,25,23,4.18,5.098039215686274,1521.5,3905,22,14.117647058823529,1508614775.168284
13.72549019607843,31.372549019607842,20.784313725490197,96,557,22,23,3.21,4.313725490196078,1531.0,3907,22,13.333333333333334,1508614775.8095741
12.549019607843137,31.372549019607842,20.784313725490197,96,557,20,23,2.96,4.313725490196078,1495.0,3907,22,13.333333333333334,1508614776.4746263
12.941176470588236,31.764705882352942,20.784313725490197,96,557,18,24,3.0700000000000003,3.9215686274509802,1442.25,3908,21,13.333333333333334,1508614777.114635
16.862745098039216,31.764705882352942,20.784313725490197,96,557,19,24,3.29,5.098039215686274,1277.5,3908,20,13.72549019607843,1508614777.734419
17.254901960784313,31.372549019607842,20.784313725490197,96,557,27,24,2.65,3.9215686274509802,952.25,3908,17,13.333333333333334,1508614778.335768
16.862745098039216,31.372549019607842,20.784313725490197,96,557,26,24,2.72,3.9215686274509802,946.25,3910,15,13.333333333333334,1508614778.9344418
16.862745098039216,31.372549019607842,20.784313725490197,96,557,26,24,2.75,3.9215686274509802,956.0,3910,14,13.333333333333334,1508614779.5408018
16.470588235294116,32.549019607843135,21.568627450980394,96,557,26,24,2.79,3.9215686274509802,989.75,3912,13,13.333333333333334,1508614780.1942744
21.96078431372549,33.333333333333336,22.352941176470587,96,557,26,24,4.84,5.882352941176471,1049.5,3912,12,15.294117647058824,1508614780.8708808
22.352941176470587,34.509803921568626,23.137254901960784,96,557,31,24,5.38,7.0588235294117645,1291.75,3912,12,14.901960784313726,1508614781.490836
31.764705882352942,34.11764705882353,23.137254901960784,96,557,38,24,8.81,7.450980392156863,1430.75,3913,12,16.862745098039216,1508614782.1095936
30.588235294117645,34.509803921568626,23.529411764705884,96,557,44,24,8.39,8.235294117647058,1629.5,3913,14,17.254901960784313,1508614782.7646515
